InspectionDate,HouseNumber,StreetName,Apartment,Borough,ViolationID,CurrentStatus,NOVDescription,BuildingID,Class,RegistrationID,BoroID,LowHouseNumber,HighHouseNumber,StreetCode,Postcode,Story,Block,Lot,ApprovedDate,OriginalCertifyByDate,OriginalCorrectByDate,NewCertifyByDate,NewCorrectByDate,CertifiedDate,OrderNumber,NOVID,NOVIssuedDate,CurrentStatusID,CurrentStatusDate,NovType,ViolationStatus,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
05/17/2016,719,MILLER AVENUE,1R,BROOKLYN,11238961,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT NORTH WALL 100 SQ FT IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 1R, 1st STORY, APARTMENT AT EAST",338089,C,329826,3,719,719,61030,11207,1,4304,71,05/18/2016,06/01/2016,05/27/2016,,,,550,5432855,05/19/2016,19,12/01/2020,Original,Close,40.662767,-73.888352,5,42,1122,3096792,3043040071,East New York (Pennsylvania Ave)
05/19/2016,619,PARK PLACE,1F,BROOKLYN,11242218,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING APPROXIMATELY 40 SQUARE FEET IN THE KITCHEN LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",351972,C,344003,3,619,619,69330,11238,1,1163,66,05/23/2016,06/06/2016,06/01/2016,,,,550,5436402,05/24/2016,19,09/30/2020,Original,Close,40.674309,-73.957334,8,35,305,3029022,3011630066,Crown Heights North
07/13/2016,1100,OCEAN AVENUE,1F,BROOKLYN,11311143,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... APPX. 15 SQ. FT. AT CEILING IN THE BATHROOM LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",347168,C,305888,3,1100,1100,67530,11230,1,5240,102,07/20/2016,08/03/2016,07/29/2016,,,09/23/2016,550,5476743,07/21/2016,19,11/09/2020,Original,Close,40.635717,-73.958292,14,45,764,3121384,3052400102,Flatbush
10/23/2019,41,SHEFFIELD AVENUE,1R,BROOKLYN,13353630,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING AND SOUTH WALL (APPROX 28 SQ. FT.) IN THE BATHROOM LOCATED AT APT 1R, 1st STORY, APARTMENT AT SOUTH",369226,C,353453,3,41,41,76430,11207,1,3669,11,10/25/2019,11/23/2019,11/18/2019,,,,550,6654285,10/28/2019,20,04/11/2021,Original,Open,40.676528,-73.898053,5,37,1198,3083270,3036690011,East New York
01/13/2018,16,LENOX ROAD,,BROOKLYN,12192935,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... APPROXIMATELY FIFTY ONE (51) SQUARE FEET AT CEILING AT PUBLIC HALL, 1st STORY",324081,C,377624,3,16,16,55330,11226,1,5083,20,01/14/2018,01/29/2018,01/24/2018,,,,550,5992303,01/16/2018,19,08/19/2020,Original,Close,40.653619,-73.958630,14,40,79602,3116607,3050830020,Prospect Lefferts Gardens-Wingate
01/17/2018,193,JEFFERSON AVENUE,1B,BROOKLYN,12198203,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT ALL WALLS, APPROXIMATELY 50 SQ FT. IN THE BATHROOM LOCATED AT APT 1B, 1st STORY, 2nd APARTMENT FROM WEST AT NORTH",317004,C,305477,3,193,193,53030,11216,1,1828,89,01/22/2018,02/05/2018,01/31/2018,,,,550,5998182,01/23/2018,19,08/26/2020,Original,Close,40.683360,-73.949443,3,36,249,3051972,3018280089,Bedford
08/11/2020,4221,BROADWAY,55,MANHATTAN,13761510,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX (30) SQ FT AGGREGATE OF CEILING, NORTH WALL AND WEST WALL IN THE BATHROOM LOCATED AT APT 55, 5th STORY, 3rd APARTMENT FROM WEST AT NORTH",8230,C,108148,1,4221,4229,13610,10033,5,2176,54,08/19/2020,09/20/2020,09/15/2020,,,,550,6933961,08/20/2020,19,04/11/2021,Original,Close,40.849035,-73.936977,12,10,265,1064270,1021760054,Washington Heights South
06/09/2018,3315,HULL AVENUE,5C,BRONX,12423934,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... 35 SQUARE FEET AT CEILING AND ALL WALLS IN THE BATHROOM LOCATED AT APT 5C, 6th STORY, 4th APARTMENT FROM SOUTH AT WEST",87517,C,204362,2,3311,3315,41420,10467,6,3348,71,06/10/2018,06/24/2018,06/19/2018,,,,550,6111295,06/11/2018,19,11/24/2020,Original,Close,40.877114,-73.874219,7,11,42902,2018398,2033480071,Norwood
06/14/2018,2914,CLARENDON ROAD,1R,BROOKLYN,12432580,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... CEILING 28 SQ FT IN THE BATHROOM LOCATED AT APT 1R, 1st STORY, APARTMENT AT SOUTH",220844,C,313328,3,2914,2914,26430,11226,1,5195,5,06/15/2018,07/01/2018,06/26/2018,,,,550,6117115,06/18/2018,19,09/01/2020,Original,Close,40.643191,-73.949488,17,45,828,3120018,3051950005,Erasmus
06/18/2018,271,PARKSIDE AVENUE,D1,BROOKLYN,12436478,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... APPROXIMATELY 45 SQ FT AT CEILING, NORTH AND EAST WALLS IN THE BATHROOM LOCATED AT APT D1, 4th STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION AT SOUTH",352212,C,334677,3,271,271,69530,11226,4,5048,83,06/18/2018,07/02/2018,06/27/2018,,,07/03/2018,550,6119138,06/19/2018,19,09/09/2020,Original,Close,40.655697,-73.959069,9,40,79601,3115842,3050480083,Prospect Lefferts Gardens-Wingate
07/09/2018,479,PENNSYLVANIA AVENUE,12,BROOKLYN,12469673,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... CEILING APPROX 14 SQ. FT, NORTH WALL 3 SQ. FT, WEST WALL 3 SQ. FT, EAST WALL 3 SQ. FT, AND SOUTH WALL 3 SQ. FT. IN THE BATHROOM LOCATED AT APT 12, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",353122,C,303377,3,479,479,70330,11207,3,3806,13,07/10/2018,07/24/2018,07/19/2018,,,07/26/2018,550,6136498,07/11/2018,19,02/02/2021,Original,Close,40.665545,-73.894234,5,42,1126,3084658,3038060013,East New York (Pennsylvania Ave)
08/30/2018,1187,ANDERSON AVENUE,5F,BRONX,12559585,DEFECT LETTER ISSUED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... CEILING APPROX. 30 SQUARE FEET. IN THE 3rd ROOM FROM NORTH LOCATED AT APT 5F, 5th STORY, 1st APARTMENT FROM WEST AT NORTH",806244,C,210437,2,1187,1187,87200,10452,5,2510,40,08/31/2018,09/17/2018,09/12/2018,,,10/17/2018,550,6181525,09/04/2018,20,11/16/2021,Original,Open,40.836731,-73.923766,4,16,199,2003170,2025100040,Highbridge
09/19/2018,1541,WILLIAMSBRIDGE ROAD,6G,BRONX,12594308,DEFECT LETTER ISSUED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT ALL WALLS AND CEILING. APPROX. 30 SQUARE FEET. IN THE BATHROOM LOCATED AT APT 6G, 6th STORY, 1st APARTMENT FROM EAST AT SOUTH",124800,C,201056,2,1541,1551,78050,10461,6,4087,33,09/20/2018,10/04/2018,09/29/2018,,,10/05/2018,550,6198828,09/21/2018,20,08/20/2020,Original,Open,40.845856,-73.847756,11,13,256,2044269,2040870033,Van Nest-Morris Park-Westchester Square
10/05/2018,180,EAST 18 STREET,4A,BROOKLYN,12633311,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING,WEST, NORTH AND EAST WALLS APPROXIMATE 43 SQUARE FEET IN THE BATHROOM LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",183905,C,348532,3,176,192,12330,11226,4,5121,7,10/09/2018,10/23/2018,10/18/2018,,,,550,6219011,10/10/2018,19,08/27/2020,Original,Close,40.646542,-73.962534,14,40,512,3117580,3051210007,Flatbush
11/27/2018,209,BROOKLYN AVENUE,1,BROOKLYN,12775991,DEFECT LETTER ISSUED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT WALLS AND CEILING IN THE BATHROOM LOCATED AT BSMT-APT 1, 1st BSMT-APT FROM WEST AT NORTH",214738,C,820891,3,209,209,23330,11213,Basement,1243,7,11/28/2018,12/12/2018,12/07/2018,,,,550,6323531,11/29/2018,20,08/12/2020,Original,Open,40.672673,-73.944660,8,36,341,3031635,3012430007,Crown Heights North
12/07/2018,101,DANIEL LOW TERRACE,5C,STATEN ISLAND,12796132,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... 25 SQFT AT ALL WALLS AND CEILIN IN THE 1st BATHROOM LOCATED AT APT 5C, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",812434,C,500888,5,101,101,25550,10301,5,20,8,12/07/2018,12/23/2018,12/18/2018,,,,550,6333115,12/10/2018,19,09/17/2020,Original,Close,40.642429,-74.080981,1,49,9,5108464,5000200008,West New Brighton-New Brighton-St. George
12/15/2018,1890,OCEAN AVENUE,D6,BROOKLYN,12809710,DEFECT LETTER ISSUED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING (AAPROX. 40 SQ.FT.) IN THE BATHROOM LOCATED AT APT D6, 4th STORY, 1st APARTMENT FROM SOUTH AT WEST",347323,C,351212,3,1890,1890,67530,11230,4,6757,15,12/16/2018,12/30/2018,12/25/2018,,,,550,6340263,12/17/2018,20,07/08/2021,Original,Open,40.615591,-73.954490,14,48,546,3181603,3067570015,Midwood
12/24/2018,415,EAST 54 STREET,1B,BROOKLYN,12823271,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT THE CEILING APPROX. 48 SQ FT. THE EAST WALL APPROX 4 SQ. FT. AND THE NORTH WALL APPROX 6SQ.FT. IN THE BATHROOM LOCATED AT APT 1B, 2nd STORY, 2nd APARTMENT FROM SOUTH AT WEST",270263,C,324061,3,413,417,37180,11203,2,4726,39,12/25/2018,01/08/2019,01/03/2019,,,02/15/2019,550,6347079,12/26/2018,19,10/21/2020,Original,Close,40.648747,-73.926143,17,45,938,3103977,3047260039,Rugby-Remsen Village
11/25/2020,2049,MC GRAW AVENUE,3I,BRONX,14068868,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APROX 16 SQ. FT AT..... CEILING IN THE BATHROOM LOCATED AT APT 3I, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST ORIGINAL VIOLATION 13913394 ISSUED 25-NOV-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",95430,C,211004,2,2049,2049,50020,10462,3,3938,7501,03/11/2021,04/11/2021,04/06/2021,,,,550,7115180,03/11/2021,19,06/14/2021,Original,Close,40.835497,-73.856286,9,18,212,2096781,2039387501,Parkchester
01/03/2019,336,EAST 167 STREET,9,BRONX,12836733,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING, EAST AND NORTH WALLS IN THE BATHROOM LOCATED AT APT 9, 3rd STORY, 3rd APARTMENT FROM NORTH AT EAST",64936,C,200819,2,336,336,26670,10456,3,2434,68,01/04/2019,01/20/2019,01/15/2019,,,,550,6354640,01/07/2019,19,10/21/2020,Original,Close,40.831033,-73.912769,4,16,175,2002277,2024340068,East Concourse-Concourse Village
01/02/2019,224,HIGHLAND BOULEVARD,501,BROOKLYN,12836985,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT WEST WALL (APPOROX 32 SQ FT) IN THE 1st ROOM FROM NORTH AT WEST LOCATED AT APT 501, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",312514,C,310230,3,222,236,49830,11207,2,3886,10,01/07/2019,01/21/2019,01/16/2019,,,,550,6356814,01/08/2019,22,10/10/2020,Original,Open,40.682153,-73.893072,5,37,114202,3086213,3038860010,Cypress Hills-City Line
01/28/2019,1900,LEXINGTON AVENUE,11D,MANHATTAN,12878510,DEFECT LETTER ISSUED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... APPROX. 42 SQ.FT. AT CEILING IN THE BATHROOM LOCATED AT APT 11D, 11th STORY, 2nd APARTMENT FROM EAST AT SOUTH",24078,C,139495,1,1900,1932,24890,10035,11,1767,16,01/29/2019,02/25/2019,02/20/2019,,,,550,6377077,01/30/2019,20,06/09/2021,Original,Open,40.800055,-73.940585,11,9,182,1054347,1017670016,East Harlem North
02/01/2019,495,WEST 186 STREET,6F,MANHATTAN,12896098,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING, SOUTH WALL, EAST WALL, NORTH WALL, AND WEST WALL (APPX 35 SQ.FT) IN THE BATHROOM LOCATED AT APT 6F, 6th STORY, 4th APARTMENT FROM EAST AT SOUTH",5873,C,104334,1,487,497,11710,10033,6,2149,93,02/06/2019,03/05/2019,02/28/2019,,,,550,6386128,02/07/2019,22,10/12/2021,Original,Open,40.851105,-73.928444,12,10,267,1063584,1021490093,Washington Heights North
02/08/2019,1633,WEST 10 STREET,1A,BROOKLYN,12902144,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROXIMATELY 24 SQUARE FEET AT CEILING AND 24 SQUARE FEET ON SOUTH WALL IN THE BATHROOM LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",392991,C,350516,3,1633,1633,90980,11223,1,6622,63,02/11/2019,03/10/2019,03/05/2019,,,05/24/2019,550,6391257,02/12/2019,19,08/19/2021,Original,Close,40.606846,-73.983311,11,44,428,3175400,3066220063,Bensonhurst East
02/09/2019,1772,MADISON AVENUE,1A,MANHATTAN,12903115,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT NORTH WALL APPROX 30.SQ.FT. IN THE 4th ROOM FROM EAST AT NORTH LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",805037,C,136446,1,1772,1782,25390,10035,1,1622,17,02/10/2019,03/09/2019,03/04/2019,,,,550,6390188,02/11/2019,22,04/05/2021,Original,Open,40.800312,-73.944623,11,9,184,1080650,1016220017,East Harlem North
02/09/2019,1772,MADISON AVENUE,1A,MANHATTAN,12903171,VIOLATION DISMISSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT WEST AND SOUTH WALL APPROX.40.SQ.FT. IN THE 5th ROOM FROM EAST AT NORTH LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",805037,C,136446,1,1772,1782,25390,10035,1,1622,17,02/10/2019,03/09/2019,03/04/2019,,,,550,6390188,02/11/2019,9,10/22/2020,Original,Close,40.800312,-73.944623,11,9,184,1080650,1016220017,East Harlem North
02/10/2019,1590,EAST 172 STREET,5E,BRONX,12903812,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 30 SQUARE FEET AT NORTH WALL IN THE 1st ROOM FROM NORTH AT EAST LOCATED AT APT 5E, 5th STORY, 2nd APARTMENT FROM WEST AT NORTH , SECTION AT WEST",65479,C,209343,2,1590,1590,26820,10472,5,3776,44,02/11/2019,03/10/2019,03/05/2019,,,,550,6390819,02/12/2019,20,08/18/2020,Original,Open,40.831574,-73.876495,9,18,54,2025348,2037760044,West Farms-Bronx River
02/07/2019,1517,PARK PLACE,6R,BROOKLYN,12905232,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AND MILDEW AT CEILING, NORTH WALL AND WEST WINDOW INSECT (APPROX 32 SQ FT) IN THE BATHROOM LOCATED AT APT 6R, 2nd STORY, APARTMENT AT EAST , SECTION ''NORTH''",351589,C,335489,3,1517,1527,69330,11213,2,1368,68,02/13/2019,03/12/2019,03/07/2019,,,,550,6393847,02/14/2019,19,09/29/2020,Original,Close,40.672163,-73.926949,8,36,347,3036323,3013680068,Crown Heights North
