InspectionDate,HouseNumber,StreetName,Apartment,Borough,Full Address,Latitude,Longitude,ViolationID,CurrentStatus,NOVDescription,BuildingID,Class,RegistrationID,BoroID,LowHouseNumber,HighHouseNumber,StreetCode,Postcode,Story,Block,Lot,ApprovedDate,OriginalCertifyByDate,OriginalCorrectByDate,NewCertifyByDate,NewCorrectByDate,CertifiedDate,OrderNumber,NOVID,NOVIssuedDate,CurrentStatusID,CurrentStatusDate,NovType,ViolationStatus,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
01/03/2021,351,EAST 163 STREET,5D,BRONX,351 EAST 163 STREET 5D BRONX ,40.8265915,-73.915118,13968699,VIOLATION DISMISSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... ALL WALLS AND CEILING (APPROX. 40 SQ. FT.) IN THE BATHROOM LOCATED AT APT 5D, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",64591,C,215559,2,351,359,26550,10451,5,2424,86,01/04/2021,02/05/2021,01/31/2021,,,01/26/2021,550,7052866,01/05/2021,9,04/08/2021,Original,Close,40.82646,-73.915051,4,17,173,2002046,2024240086,East Concourse-Concourse Village
01/03/2021,701,GATES AVENUE,3B,BROOKLYN,701 GATES AVENUE 3B BROOKLYN ,40.6878044,-73.9384104,13969000,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... NORTH,EAST, SOUTH AND WEST WALLS 30 SQUARE FEET CEILING IN THE 2nd BATHROOM LOCATED AT APT 3B, 3rd STORY, 2nd APARTMENT FROM EAST AT SOUTH",808400,C,374507,3,695,701,43330,11221,3,1629,1,01/04/2021,02/05/2021,01/31/2021,,,02/22/2021,550,7053454,01/05/2021,20,11/26/2021,Original,Open,40.687637,-73.938323,3,36,277,3325009,3016290001,Stuyvesant Heights
01/03/2021,1005,JEROME AVENUE,C45,BRONX,1005 JEROME AVENUE C45 BRONX ,40.8316321,-73.9264909,13969049,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... ALL WALLS AND CEILING (APPROX. 30 SQ. FT.) IN THE BATHROOM LOCATED AT APT C45, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH",88744,C,209718,2,1005,1005,42820,10452,4,2504,126,01/04/2021,02/05/2021,01/31/2021,,,,550,7052930,01/05/2021,20,10/30/2021,Original,Open,40.831608,-73.926276,4,8,189,2091244,2025040126,Highbridge
01/03/2021,1826,MONROE AVENUE,1A,BRONX,1826 MONROE AVENUE 1A BRONX ,40.8473694,-73.9061316,13968724,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX. 30 SQ FT AT THE CEILING , NORTH WALL AND EAST WALL IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",96817,C,221504,2,1822,1826,51620,10457,1,2800,36,01/05/2021,02/06/2021,02/01/2021,,,01/13/2021,550,7054034,01/06/2021,19,03/11/2021,Original,Close,40.847266,-73.906368,5,15,22901,2007518,2028000036,Mount Hope
01/03/2021,2181,WALLACE AVENUE,1C,BRONX,2181 WALLACE AVENUE 1C BRONX ,40.8556717,-73.8650161,14059714,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROXIMATELY 10 SQ FT AT EAST WALL IN THE BATHROOM LOCATED AT APT 1C, 1st STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION ''SOUTH'' ORIGINAL VIOLATION 13968442 ISSUED 03-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",118827,C,207039,2,2181,2181,72620,10462,1,4320,42,03/05/2021,04/05/2021,03/31/2021,,,,550,7108533,03/05/2021,22,10/23/2021,Original,Open,40.855865,-73.864777,11,13,22403,2049416,2043200042,Pelham Parkway
01/03/2021,40,WOODRUFF AVENUE,602,BROOKLYN,40 WOODRUFF AVENUE 602 BROOKLYN ,40.6527646,-73.9644472,13972477,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING (APPROX. 1 SQ FT), EAST WALL (APPROX. 28 SQ FT), NORTH WALL (1 SQ FT) IN 2ND CLOSET FROM NORTH AT EAST IN THE PRIVATE HALLWAY LOCATED AT APT 602, 6th STORY, 2nd APARTMENT FROM NORTH AT EAST",398047,C,314269,3,34,46,94430,11226,6,5058,24,01/09/2021,02/11/2021,02/06/2021,,,02/11/2021,550,7059197,01/11/2021,19,03/17/2021,Original,Close,40.652935,-73.964624,14,40,50804,3116086,3050580024,Flatbush
01/04/2021,100,EAST MOSHOLU PARKWAY SOUTH,1C,BRONX,100 EAST MOSHOLU PARKWAY SOUTH 1C BRONX ,40.8766124,-73.8840807,14068875,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT NORTH WALL IN THE 3rd ROOM FROM NORTH LOCATED AT APT 1C, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13970715 ISSUED 04-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",73811,C,212958,2,100,100,29450,10458,1,3313,29,03/11/2021,04/11/2021,04/06/2021,,,,550,7115142,03/11/2021,20,05/21/2021,Original,Open,40.876713,-73.883806,7,11,413,2017398,2033130029,Bedford Park-Fordham North
01/04/2021,1085,WILLOUGHBY AVENUE,,BROOKLYN,1085 WILLOUGHBY AVENUE  BROOKLYN ,40.7006558,-73.9266363,14078852,NOV SENT OUT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 100 SQ FT AT WEST , SOUTH , NORTH AND EAST WALLS AT PUBLIC HALL, 4th STORY ORIGINAL VIOLATION 13970014 ISSUED 04-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",396120,C,377870,3,1083,1085,93230,11221,4,3196,38,03/18/2021,04/18/2021,04/13/2021,,,,550,7123030,03/18/2021,2,03/18/2021,Original,Open,40.700481,-73.926522,4,34,423,3072713,3031960038,Bushwick South
01/04/2021,2411,PROSPECT AVENUE,5B,BRONX,2411 PROSPECT AVENUE 5B BRONX ,40.854203,-73.8827485,14076844,INVALID CERTIFICATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... THE NORTH WALL IN THE BATHROOM LOCATED AT APT 5B, 5th STORY, 1st APARTMENT FROM NORTH AT EAST ORIGINAL VIOLATION 13970029 ISSUED 04-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",104470,C,203188,2,2411,2411,59520,10458,5,3104,55,03/17/2021,04/17/2021,04/12/2021,,,,550,7121367,03/17/2021,28,04/16/2021,Original,Open,40.854065,-73.882522,6,15,393,2012894,2031040055,Belmont
01/04/2021,100,EAST MOSHOLU PARKWAY SOUTH,1C,BRONX,100 EAST MOSHOLU PARKWAY SOUTH 1C BRONX ,40.8766124,-73.8840807,13970711,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT SOUTH WALL AND BOTH WINDOW FRAMES AT SOUTH IN THE 5th ROOM FROM NORTH AT CENTER LOCATED AT APT 1C, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",73811,C,212958,2,100,100,29450,10458,1,3313,29,01/05/2021,02/06/2021,02/01/2021,,,,550,7053994,01/06/2021,20,05/21/2021,Original,Open,40.876713,-73.883806,7,11,413,2017398,2033130029,Bedford Park-Fordham North
01/04/2021,100,EAST MOSHOLU PARKWAY SOUTH,1C,BRONX,100 EAST MOSHOLU PARKWAY SOUTH 1C BRONX ,40.8766124,-73.8840807,13970691,NOT COMPLIED WITH,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT WEST WALL AND CEILING IN THE 5th ROOM FROM NORTH AT WEST LOCATED AT APT 1C, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",73811,C,212958,2,100,100,29450,10458,1,3313,29,01/05/2021,02/06/2021,02/01/2021,,,,550,7053994,01/06/2021,21,05/21/2021,Original,Open,40.876713,-73.883806,7,11,413,2017398,2033130029,Bedford Park-Fordham North
01/04/2021,405,EAST 182 STREET,3B,BRONX,405 EAST 182 STREET 3B BRONX ,40.8549452,-73.8960647,14068876,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT ALL WALLS IN THE BATHROOM LOCATED AT APT 3B, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST ORIGINAL VIOLATION 13970738 ISSUED 04-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",66393,C,206774,2,405,405,27120,10457,3,3030,136,03/11/2021,04/11/2021,04/06/2021,,,03/19/2021,550,7115137,03/11/2021,19,04/06/2021,Original,Close,40.854835,-73.896239,6,15,38302,2011160,2030300136,Fordham South
01/04/2021,5110,POST ROAD,2ND,BRONX,5110 POST ROAD 2ND BRONX ,40.8961068,-73.8978129,14101811,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX, 8 SQ. FT. AT CEILING, 6 SQ. FT. AT WEST WALL, 8 SQ. FT. AT NORTH WALL. IN THE BATHROOM LOCATED AT APT 2ND, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST ORIGINAL VIOLATION 13970002 ISSUED 04-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",103823,C,0,2,5110,5110,59120,10471,2,5825,1507,04/01/2021,05/02/2021,04/27/2021,,,04/24/2021,550,7147651,04/01/2021,19,05/28/2021,Original,Close,40.896051,-73.898052,8,11,351,2084509,2058251507,North Riverdale-Fieldston-Riverdale
01/04/2021,100,EAST MOSHOLU PARKWAY SOUTH,1C,BRONX,100 EAST MOSHOLU PARKWAY SOUTH 1C BRONX ,40.8766124,-73.8840807,13970680,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT SOUTH WALL AND SOUTH WINDOW FRAME IN THE 5th ROOM FROM NORTH AT WEST LOCATED AT APT 1C, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",73811,C,212958,2,100,100,29450,10458,1,3313,29,01/05/2021,02/06/2021,02/01/2021,,,,550,7053994,01/06/2021,20,05/21/2021,Original,Open,40.876713,-73.883806,7,11,413,2017398,2033130029,Bedford Park-Fordham North
01/04/2021,560,WEST 160 STREET,23,MANHATTAN,560 WEST 160 STREET 23 MANHATTAN ,40.8354896,-73.942918,14117513,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING APPROX 20 SQ FT. IN THE BATHROOM LOCATED AT APT 23, 2nd STORY, 2nd APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13971112 ISSUED 04-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",42876,C,100595,1,558,560,36970,10032,2,2118,11,04/02/2021,05/03/2021,04/28/2021,,,,550,7154817,04/02/2021,22,07/09/2021,Original,Open,40.835397,-73.942262,12,7,245,1062785,1021180011,Washington Heights South
01/04/2021,240,IRVING AVENUE,1R,BROOKLYN,240 IRVING AVENUE 1R BROOKLYN ,40.7002453,-73.9169111,13970024,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 40 SQ FT AT WEST , SOUTH , NORTH AND EAST WALLS AND AROUND WEST WINDOW FRRAME AND CEILING IN THE BATHROOM LOCATED AT APT 1R, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",315801,C,331180,3,240,240,52130,11237,1,3300,35,01/05/2021,02/06/2021,02/01/2021,,,,550,7054313,01/06/2021,20,06/05/2021,Original,Open,40.700345,-73.916727,4,37,431,3075440,3033000035,Bushwick North
01/05/2021,458,CHESTER STREET,B,BROOKLYN,458 CHESTER STREET B BROOKLYN ,40.6602347,-73.9094701,14074008,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... CEILING 5 SQ FT, WEST WALL 4 SQ FT, EAST WALL 4 SQ FT, NORTH WALL 2 SQ FT, SOUTH WALL 3 SQ FT IN THE BATHROOM LOCATED AT APT B, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST ORIGINAL VIOLATION 13971580 ISSUED 05-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",966266,C,385625,3,458,458,25930,11212,1,3601,26,03/15/2021,04/15/2021,04/10/2021,,,,550,7119625,03/15/2021,19,10/04/2021,Original,Close,40.660271,-73.909316,16,42,916,3326592,3036010026,Brownsville
01/05/2021,141,LEGION STREET,3,BROOKLYN,141 LEGION STREET 3 BROOKLYN ,40.665418,-73.9171867,13972359,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... INSIDE SECOND CLOSET, AT NORTH ,APPROXIAMETLY 10 SQUARE FEET AT NORTH WALL, 10 SQUARE FEET AT WEST WALL, AND 10 SQUARE FEET AT EAST WALL IN THE PRIVATE HALLWAY LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",323822,C,378384,3,141,145,55130,11212,3,3536,14,01/09/2021,02/11/2021,02/06/2021,,,,550,7058943,01/11/2021,19,04/22/2021,Original,Close,40.665375,-73.91743,16,41,900,3081286,3035360014,Brownsville
01/05/2021,2565,MARION AVENUE,4B,BRONX,2565 MARION AVENUE 4B BRONX ,40.8630395,-73.8924583,13973076,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING AND ALL WALLS APPROX.30 SQ.FT IN THE BATHROOM LOCATED AT APT 4B, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",94361,C,205957,2,2565,2565,49420,10458,5,3286,51,01/06/2021,02/07/2021,02/02/2021,,,,550,7055477,01/07/2021,20,07/14/2021,Original,Open,40.862931,-73.892217,7,15,39901,2016602,2032860051,Bedford Park-Fordham North
01/05/2021,45,ST NICHOLAS AVENUE,2C,MANHATTAN,45 ST NICHOLAS AVENUE 2C MANHATTAN ,40.800152,-73.952872,13941418,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING IN THE BATHROOM LOCATED AT APT 2C, 2nd STORY, 2nd APARTMENT FROM WEST AT NORTH",28125,C,112918,1,45,45,31190,10026,2,1822,15,01/05/2021,02/06/2021,02/01/2021,,,,550,7053817,01/06/2021,47,01/06/2021,Original,Open,40.800206,-73.952489,10,9,216,1054981,1018220015,Central Harlem South
01/05/2021,45,ST NICHOLAS AVENUE,2C,MANHATTAN,45 ST NICHOLAS AVENUE 2C MANHATTAN ,40.800152,-73.952872,13941421,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING IN THE PRIVATE HALLWAY LOCATED AT APT 2C, 2nd STORY, 2nd APARTMENT FROM WEST AT NORTH",28125,C,112918,1,45,45,31190,10026,2,1822,15,01/05/2021,02/06/2021,02/01/2021,,,,550,7053817,01/06/2021,47,01/06/2021,Original,Open,40.800206,-73.952489,10,9,216,1054981,1018220015,Central Harlem South
01/05/2021,649,51 STREET,1C,BROOKLYN,649 51 STREET 1C BROOKLYN ,40.6426513,-74.00733,13972230,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... ON SOUTH WALL, EAST WALL, WEST WALL AND CEILING IN THE BATHROOM LOCATED AT APT 1C, 1st STORY, 2nd APARTMENT FROM NORTH AT EAST",155146,C,331035,3,649,649,9130,11220,1,793,47,01/07/2021,02/08/2021,02/03/2021,,,,550,7057160,01/08/2021,19,03/18/2021,Original,Close,40.642567,-74.007607,7,38,98,3013373,3007930047,Sunset Park East
01/05/2021,141,LEGION STREET,3,BROOKLYN,141 LEGION STREET 3 BROOKLYN ,40.665418,-73.9171867,13972342,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... INSIDE FIRST CLOSET, AT NORTH APPROXIAMETLY 10 SQUARE FEET AT NORTH WALL, 10 SQUARE FEET AT WEST WALL, AND 10 SQUARE FEET AT EAST WALL IN THE PRIVATE HALLWAY LOCATED AT APT 3, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",323822,C,378384,3,141,145,55130,11212,3,3536,14,01/09/2021,02/11/2021,02/06/2021,,,,550,7058943,01/11/2021,19,04/22/2021,Original,Close,40.665375,-73.91743,16,41,900,3081286,3035360014,Brownsville
01/05/2021,649,51 STREET,3B,BROOKLYN,649 51 STREET 3B BROOKLYN ,40.6426513,-74.00733,13973257,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... ON CEILING, NORTH WALL IN THE BATHROOM LOCATED AT APT 3B, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",155146,C,331035,3,649,649,9130,11220,3,793,47,01/11/2021,02/12/2021,02/07/2021,,,,550,7060338,01/12/2021,47,01/12/2021,Original,Open,40.642567,-74.007607,7,38,98,3013373,3007930047,Sunset Park East
